startup_name,industry,city,state,funding_amount_usd,funding_round,investors,date
Antivirus Plus,Healthtech,Mumbai,Maharashtra,10000000.0,Series D,"Lightspeed Venture Partners, Tiger Global, Amazon",2017-03-02
CRM Platform,Blockchain,Chennai,Tamil Nadu,10000000.0,Angel,DST Global,2020-08-25
FraudDetection AI,Gaming,Nagpur,Maharashtra,10000000.0,Pre-Series A,"Blume Ventures, General Catalyst, Falcon Edge",2015-02-23
WasteManagement Co,CleanTech,Kochi,Kerala,22061194504153.42,Private Equity,"Alibaba, Amazon",2023-04-29
BioTech Labs,Analytics,Gurgaon,Haryana,10000000.0,Private Equity,SAIF Partners,2022-04-19
WasteManagement Co,Real Estate,Nagpur,Maharashtra,10000000.0,Private Equity,Techstars,2018-02-06
EnergyEfficient,Fashion & Lifestyle,Nagpur,Maharashtra,10000000.0,Seed,Google Ventures,2018-09-26
DataScience Academy,Travel & Hospitality,Kolkata,West Bengal,10000000.0,Series E,"Google Ventures, Y Combinator, SoftBank Vision Fund",2017-01-09
SocialConnect,Analytics,Jaipur,Rajasthan,10000000.0,Series C,Alpha Wave Incubation,2023-05-30
HealthCare Plus,AI/ML,Chandigarh,Chandigarh,84221371579782.69,Private Equity,"Tiger Global, Matrix Partners, Techstars",2023-11-23
GameZone,Marketing Tech,Pune,Maharashtra,10000000.0,Pre-Series A,"Techstars, Steadview Capital, SAIF Partners",2017-03-12
JobPortal Pro,Blockchain,Bhopal,Madhya Pradesh,10000000.0,Bridge Round,"Kalaari Capital, Google Ventures, Nexus Venture Partners",2018-04-08
IoT Solutions,Mobile Apps,Hyderabad,Telangana,170392755757384.0,Series D,"Accel Partners, SAIF Partners",2024-09-09
SportsFit,Travel & Hospitality,Surat,Gujarat,10000000.0,Private Equity,"Naspers, AngelList India",2023-08-07
WeddingBells,Analytics,Hyderabad,Telangana,10000000.0,Series D,"Insight Partners, SoftBank Vision Fund, Accel Partners",2015-11-06
BatteryTech,Biotechnology,Indore,Madhya Pradesh,10000000.0,Bridge Round,"Alibaba, Nexus Venture Partners, SoftBank Vision Fund",2018-01-01
AdTech Solutions,Automotive,Visakhapatnam,Andhra Pradesh,26343742189897.97,Growth Stage,Naspers,2018-03-21
Insurance Plus,HR Tech,Ahmedabad,Gujarat,10000000.0,Angel,"SoftBank Vision Fund, Alpha Wave Incubation",2018-07-08
MarketingAI,HR Tech,Ahmedabad,Gujarat,10000000.0,Series D,Matrix Partners,2017-12-16
FashionForward,,Bangalore,Karnataka,2926568774043.7705,Debt Financing,"Accel Partners, Chiratae Ventures, Blume Ventures",2019-08-31
MusicStream,SaaS,Jaipur,Rajasthan,10000000.0,Series C,"Steadview Capital, Y Combinator",2019-12-07
AgriTech Innovations,AI/ML,Noida,Uttar Pradesh,144755860570.38022,Series B,"Chiratae Ventures, Google Ventures, Alpha Wave Incubation",2017-06-09
HR Tech Solutions,Enterprise Software,Chandigarh,Chandigarh,10000000.0,Series E,"500 Startups, Tencent, Techstars",2019-11-18
EventPlanner,Media & Entertainment,Delhi,Delhi,10000000.0,Series D,"Alpha Wave Incubation, Blume Ventures, Elevation Capital",2020-02-06
LegalTech,HR Tech,Lucknow,Uttar Pradesh,10000000.0,Private Equity,"Tiger Global, DST Global, Sequoia Capital",2024-05-01
PetCare,SaaS,Surat,Gujarat,727162286824.5088,Series D,"SoftBank Vision Fund, SAIF Partners, Chiratae Ventures",2018-08-14
AI Analytics,IoT,Gurgaon,Haryana,36894679692341.54,Series E,"Insight Partners, Matrix Partners, Tiger Global",2015-02-27
LabTest Now,Cloud Services,Delhi,Delhi,10000000.0,Series E,SoftBank Vision Fund,2016-01-06
SportsFit,Cloud Services,Pune,Maharashtra,10000000.0,Bridge Round,Elevation Capital,2019-09-20
NLP Solutions,Renewable Energy,Indore,Madhya Pradesh,811309878029.2491,Angel,"Blume Ventures, DST Global",2016-01-13
PayTech Solutions,E-commerce,Kochi,Kerala,10000000.0,Angel,"Elevation Capital, Alibaba",2015-11-05
SemiconductorHub,IoT,Pune,Maharashtra,10154872469075.748,Debt Financing,"500 Startups, SoftBank Vision Fund, Blume Ventures",2020-02-26
SmartWatch India,Cybersecurity,Ahmedabad,Gujarat,8912891509903.12,Growth Stage,"General Catalyst, Blume Ventures",2018-03-14
ElectroMart,SaaS,Bhopal,Madhya Pradesh,1386167249053.56,Series A,"SAIF Partners, AngelList India",2020-02-01
DroneDelivery,Edtech,Delhi,Delhi,10000000.0,Pre-Series A,"Amazon, Sequoia Capital, Alibaba",2024-01-04
Insurance Plus,Blockchain,Indore,Madhya Pradesh,10000000.0,Series B,"Nexus Venture Partners, Tencent",2021-10-29
SkillDevelopment,Gaming,Visakhapatnam,Andhra Pradesh,10000000.0,Private Equity,"SoftBank Vision Fund, Accel Partners",2015-09-07
ComputerVision Co,Logistics,Ahmedabad,Gujarat,10000000.0,Series C,"Blume Ventures, Naspers",2018-04-19
InvestSmart,Logistics,Visakhapatnam,Andhra Pradesh,10000000.0,Series A,Naspers,2019-08-14
EventPlanner,Agritech,Mumbai,Maharashtra,10000000.0,Series E,"AngelList India, General Catalyst",2018-04-24
FitTrack,Edtech,Noida,Uttar Pradesh,10000000.0,Series C,"Chiratae Ventures, Google Ventures, Sequoia Capital",2024-04-22
JobPortal Pro,Foodtech,Hyderabad,Telangana,10000000.0,Seed,"Amazon, Insight Partners, Chiratae Ventures",2020-08-23
SkillDevelopment,HR Tech,Pune,Maharashtra,24099516047057.215,Private Equity,Tencent,2018-01-26
AutoParts Direct,Healthtech,Bangalore,Karnataka,6285109271506.001,Angel,Techstars,2022-05-26
FoodDelivery Express,HR Tech,Chennai,Tamil Nadu,10000000.0,Private Equity,"500 Startups, Alpha Wave Incubation, Sequoia Capital",2017-10-28
BatteryTech,Automotive,Nagpur,Maharashtra,16004106494242.03,Seed,"Alpha Wave Incubation, DST Global",2019-07-26
AI Research Lab,Social Media,,West Bengal,76889474695529.05,Series C,"AngelList India, Tencent, Falcon Edge",2024-09-16
WindEnergy Tech,Consumer Services,Kochi,Kerala,10000000.0,Series B,"Matrix Partners, Techstars, Chiratae Ventures",2024-07-20
PharmEasy Online,Marketing Tech,Chennai,Tamil Nadu,10000000.0,Pre-Series A,500 Startups,2019-11-01
SalesForce India,Consumer Services,Hyderabad,Telangana,3028264990712.229,Series E,"Falcon Edge, Matrix Partners, Nexus Venture Partners",2019-04-07
AntiPhishing Co,Logistics,Coimbatore,Tamil Nadu,10000000.0,Debt Financing,,2015-01-30
AutoParts Direct,Edtech,Surat,Gujarat,6899189711485.145,Pre-Series A,"Nexus Venture Partners, Matrix Partners, DST Global",2016-09-26
EventPlanner,Marketing Tech,Delhi,Delhi,10000000.0,Bridge Round,"Google Ventures, Nexus Venture Partners",2017-06-23
FashionForward,Real Estate,Bhopal,Madhya Pradesh,12788533561584.043,Angel,"Amazon, DST Global",2017-09-13
AutoParts Direct,Real Estate,Bangalore,Karnataka,116033480660.89742,Series C,"Google Ventures, Steadview Capital, Naspers",2021-07-08
Influencer Network,Mobile Apps,Hyderabad,Telangana,10000000.0,Growth Stage,Y Combinator,2022-04-21
PayrollEasy,Social Media,Surat,Gujarat,10000000.0,Series B,"Tencent, Nexus Venture Partners, Google Ventures",2019-07-13
HomeServices,Biotechnology,Bangalore,Karnataka,4080707785248.57,Pre-Series A,"Sequoia Capital, DST Global",2022-05-16
RideShare India,Blockchain,Mumbai,Maharashtra,6783731979790.905,Seed,"AngelList India, Sequoia Capital",2019-02-22
EventPlanner,AI/ML,Bangalore,Karnataka,181040128408.04587,Series C,"Techstars, Insight Partners, Sequoia Capital",2022-12-04
RoboticsTech,E-commerce,Lucknow,Uttar Pradesh,10000000.0,Growth Stage,"500 Startups, Kalaari Capital, Falcon Edge",2022-05-08
WaterPurify,Logistics,Bangalore,Karnataka,10000000.0,Series B,"Lightspeed Venture Partners, SAIF Partners",2020-01-06
SmartCity Solutions,Fashion & Lifestyle,Gurgaon,Haryana,290018131609.8728,Series B,"AngelList India, Techstars, General Catalyst",2016-01-27
PropertyFinder,Cloud Services,Nagpur,Maharashtra,4495020508032.55,Private Equity,"Techstars, Tencent, Blume Ventures",2015-10-26
PayTech Solutions,Healthtech,Kolkata,West Bengal,8163266613506.761,Growth Stage,"Tencent, Tiger Global, Accel Partners",2023-06-21
ShopEasy,Edtech,Gurgaon,Haryana,10000000.0,Series E,Alibaba,2016-07-05
AgriTech Innovations,Logistics,Kochi,Kerala,10000000.0,Angel,"Kalaari Capital, Matrix Partners, Alibaba",2021-10-18
LoanSimple,Gaming,Indore,Madhya Pradesh,3762328787533.682,Debt Financing,AngelList India,2023-04-17
CameraLens Co,Blockchain,Nagpur,Maharashtra,10000000.0,Bridge Round,Sequoia Capital,2022-01-15
EduLearn,Cybersecurity,Nagpur,Maharashtra,10000000.0,Seed,"Insight Partners, Tencent",2019-05-08
HR Tech Solutions,Cloud Services,Chennai,Tamil Nadu,1911827506956.207,Growth Stage,Accel Partners,2019-12-19
GameZone,Social Media,Kolkata,West Bengal,10000000.0,Growth Stage,"Nexus Venture Partners, Naspers, SoftBank Vision Fund",2015-12-02
SocialConnect,Automotive,Noida,Uttar Pradesh,784604887232.47,Private Equity,Google Ventures,2018-03-09
FinanceApp,Gaming,Jaipur,Rajasthan,10000000.0,Debt Financing,"Alibaba, Techstars",2022-12-11
CameraLens Co,Marketing Tech,Delhi,Delhi,10000000.0,Series D,SoftBank Vision Fund,2015-09-19
LegalTech,HR Tech,Hyderabad,Telangana,10000000.0,Private Equity,"Techstars, Alpha Wave Incubation, Accel Partners",2017-02-12
HealthCare Plus,Agritech,Nagpur,Maharashtra,10000000.0,Series D,AngelList India,2023-11-25
NFT Marketplace,Enterprise Software,Kochi,Kerala,611721160846.5428,Series C,"Y Combinator, DST Global",2021-01-02
SolarPower Solutions,IoT,Kolkata,West Bengal,2930430422428.5776,Angel,Matrix Partners,2016-08-20
AI Research Lab,Renewable Energy,Coimbatore,Tamil Nadu,10000000.0,Private Equity,"SAIF Partners, Tiger Global, SoftBank Vision Fund",2021-04-04
FitTrack,HR Tech,Visakhapatnam,Andhra Pradesh,215873656626.34634,Series A,"500 Startups, General Catalyst, DST Global",2023-08-24
EnergyEfficient,Gaming,Chandigarh,Chandigarh,5670178889905.281,Private Equity,"SoftBank Vision Fund, Y Combinator, Steadview Capital",2018-04-18
BiometricAuth,Logistics,Visakhapatnam,Andhra Pradesh,10000000.0,Series C,"SoftBank Vision Fund, AngelList India",2017-05-01
SportsFit,Gaming,Lucknow,Uttar Pradesh,10000000.0,Pre-Series A,"Falcon Edge, Techstars",2017-01-31
SmartWatch India,Blockchain,Nagpur,Maharashtra,10000000.0,Series B,DST Global,2020-09-30
SpeechTech,Fashion & Lifestyle,Ahmedabad,Gujarat,10000000.0,Series B,"Lightspeed Venture Partners, AngelList India, Alpha Wave Incubation",2021-01-26
TravelBuddy,AI/ML,Kolkata,West Bengal,10000000.0,Growth Stage,AngelList India,2021-03-09
SportsFit,Mobile Apps,Indore,Madhya Pradesh,10000000.0,Private Equity,"Techstars, SoftBank Vision Fund, Elevation Capital",2017-09-09
FoodDelivery Express,Blockchain,Chandigarh,Chandigarh,10000000.0,Growth Stage,"Accel Partners, Nexus Venture Partners",2019-08-06
NanoTech India,IoT,Lucknow,Uttar Pradesh,10000000.0,Private Equity,DST Global,2021-09-23
SocialConnect,IoT,Coimbatore,Tamil Nadu,10000000.0,Series D,"Matrix Partners, Kalaari Capital",2023-08-24
Insurance Plus,Agritech,Coimbatore,Tamil Nadu,7423038363238.509,Seed,"Chiratae Ventures, Amazon",2015-12-03
EduLearn,Social Media,Noida,Uttar Pradesh,165879517426.49344,Series A,"Tencent, Steadview Capital, Amazon",2023-11-09
PayTech Solutions,Foodtech,Kolkata,West Bengal,22613930057528.56,Series E,"Google Ventures, Matrix Partners",2021-08-21
PetCare,Consumer Services,Lucknow,Uttar Pradesh,10000000.0,Series B,"General Catalyst, Y Combinator",2024-08-17
IoT Solutions,Automotive,Surat,Gujarat,10000000.0,Growth Stage,"Matrix Partners, Elevation Capital",2016-06-03
MediaHub,Hardware,,Haryana,10000000.0,Series A,"Elevation Capital, Y Combinator",2024-03-08
GameZone,Cloud Services,Mumbai,Maharashtra,14448201790772.447,Angel,"Insight Partners, Kalaari Capital, Accel Partners",2016-08-28
PropertyFinder,SaaS,Surat,Gujarat,9728946986082.623,Seed,"Tiger Global, General Catalyst",2022-01-06
SocialConnect,Automotive,Ahmedabad,Gujarat,10000000.0,Debt Financing,Matrix Partners,2021-07-12
WeddingBells,Agritech,Hyderabad,Telangana,424170938371.2759,Series C,Insight Partners,2019-06-15
HealthCare Plus,Gaming,Visakhapatnam,Andhra Pradesh,10000000.0,Private Equity,"Alibaba, Elevation Capital, General Catalyst",2016-06-14
CloudStorage Pro,Logistics,Lucknow,Uttar Pradesh,10000000.0,Series D,"General Catalyst, SAIF Partners",2016-09-11
JobPortal Pro,Marketing Tech,Gurgaon,Haryana,10000000.0,Series E,"DST Global, Falcon Edge, Accel Partners",2023-10-03
PayTech Solutions,CleanTech,Kolkata,West Bengal,10000000.0,Angel,"Nexus Venture Partners, Accel Partners",2017-10-19
BeautyBox,Fashion & Lifestyle,Kolkata,West Bengal,10000000.0,Debt Financing,"Sequoia Capital, AngelList India, Techstars",2015-05-14
FashionForward,Analytics,,Tamil Nadu,10000000.0,Series B,"Google Ventures, 500 Startups",2019-07-07
SmartCity Solutions,HR Tech,Surat,Gujarat,10000000.0,Bridge Round,"Google Ventures, Sequoia Capital, Amazon",2017-07-20
WindEnergy Tech,Renewable Energy,Visakhapatnam,Andhra Pradesh,10000000.0,Debt Financing,"Matrix Partners, Tiger Global, Naspers",2016-06-09
SmartWatch India,AI/ML,Lucknow,Uttar Pradesh,2905203729483.6074,Growth Stage,Google Ventures,2021-01-19
Firewall Tech,Consumer Services,Chennai,Tamil Nadu,10000000.0,Series A,"Alibaba, Matrix Partners, DST Global",2023-05-27
PasswordManager,E-commerce,Lucknow,Uttar Pradesh,850593581397.4983,Growth Stage,"Blume Ventures, Elevation Capital",2015-03-24
ML Platform,Media & Entertainment,Chandigarh,Chandigarh,10000000.0,Debt Financing,"Tiger Global, Naspers, Y Combinator",2019-03-20
AirQuality Monitor,Marketing Tech,,Telangana,1859737220203.4988,Debt Financing,"Naspers, AngelList India",2020-01-04
CloudStorage Pro,Blockchain,Gurgaon,Haryana,10000000.0,Seed,Nexus Venture Partners,2016-03-06
ARGlasses,Biotechnology,Delhi,Delhi,10000000.0,Series E,"Tencent, Techstars",2016-02-05
AntiPhishing Co,Fintech,Lucknow,Uttar Pradesh,10000000.0,Series D,"Alibaba, Techstars",2016-07-27
FurnitureWorld,Fintech,Coimbatore,Tamil Nadu,6068316114158.154,Seed,"Alibaba, Tiger Global, Naspers",2018-02-14
RideShare India,Enterprise Software,Nagpur,Maharashtra,10000000.0,Series B,"Google Ventures, Insight Partners, Lightspeed Venture Partners",2021-05-15
TravelBuddy,HR Tech,Jaipur,Rajasthan,10000000.0,Series D,"Falcon Edge, Techstars",2023-05-05
Metaverse India,IoT,Surat,Gujarat,10000000.0,Series B,General Catalyst,2016-07-04
FitTrack,Fintech,Visakhapatnam,Andhra Pradesh,1386808721227.7642,Series B,Alpha Wave Incubation,2020-01-13
CloudStorage Pro,SaaS,Delhi,Delhi,10000000.0,Series A,"Techstars, AngelList India, Accel Partners",2020-06-14
IdentityVerification,Real Estate,Delhi,Delhi,10000000.0,Debt Financing,Elevation Capital,2024-02-13
CRM Platform,Marketing Tech,Kochi,Kerala,10127145696335.602,Debt Financing,Lightspeed Venture Partners,2022-07-25
DigitalArt Platform,Analytics,Kochi,Kerala,10000000.0,Series A,"Techstars, Alibaba",2021-08-12
GameZone,Foodtech,Coimbatore,Tamil Nadu,10000000.0,Debt Financing,"Tiger Global, 500 Startups",2019-11-29
VerticalGardens,Blockchain,Indore,Madhya Pradesh,10000000.0,Seed,"Falcon Edge, SoftBank Vision Fund, Y Combinator",2024-12-10
EVCharging Network,,Ahmedabad,Gujarat,10000000.0,Seed,AngelList India,2016-12-16
AgriTech Innovations,SaaS,Gurgaon,Haryana,10000000.0,Private Equity,"Naspers, Tencent, Tiger Global",2020-04-18
PasswordManager,Cybersecurity,Bangalore,Karnataka,10000000.0,Angel,"Naspers, Y Combinator",2023-06-27
DataScience Academy,E-commerce,Kochi,Kerala,10000000.0,Angel,Alibaba,2019-04-16
JobPortal Pro,Media & Entertainment,Jaipur,Rajasthan,5562151653075.8125,Pre-Series A,"Blume Ventures, Kalaari Capital",2017-06-08
BeautyBox,Biotechnology,Lucknow,Uttar Pradesh,10000000.0,Series C,Lightspeed Venture Partners,2021-08-04
FitTrack,Cloud Services,Jaipur,Rajasthan,10000000.0,Series A,500 Startups,2021-09-23
InvestSmart,Gaming,Indore,Madhya Pradesh,10000000.0,Series C,"Y Combinator, DST Global",2018-09-16
HomeServices,CleanTech,Visakhapatnam,Andhra Pradesh,10000000.0,Private Equity,"Kalaari Capital, SoftBank Vision Fund",2022-08-20
PetCare,Blockchain,Mumbai,Maharashtra,10000000.0,Private Equity,"Google Ventures, Tiger Global, Naspers",2019-04-05
MusicStream,Real Estate,Bangalore,Karnataka,11627754009961.523,Seed,"Elevation Capital, Lightspeed Venture Partners, Falcon Edge",2024-11-22
CloudStorage Pro,AI/ML,Kolkata,West Bengal,10000000.0,Debt Financing,General Catalyst,2021-06-08
RideShare India,CleanTech,Noida,Uttar Pradesh,10000000.0,Series D,"Falcon Edge, 500 Startups, Insight Partners",2021-05-08
ParkingFinder,E-commerce,Hyderabad,Telangana,10000000.0,Angel,"General Catalyst, Y Combinator",2019-02-02
SmartCity Solutions,Gaming,Jaipur,Rajasthan,160573954817.4801,Series C,"Matrix Partners, Accel Partners, SAIF Partners",2023-04-05
SocialConnect,Social Media,Nagpur,Maharashtra,10000000.0,Bridge Round,Matrix Partners,2015-10-08
ML Platform,Blockchain,Surat,Gujarat,1594407426471.059,Bridge Round,"AngelList India, Y Combinator, SAIF Partners",2022-01-30
CleanEnergy Co,Social Media,Lucknow,Uttar Pradesh,10000000.0,Series B,"Falcon Edge, Tencent, Amazon",2021-01-14
DoctorConnect,Marketing Tech,Mumbai,Maharashtra,32895850477146.42,Bridge Round,Naspers,2019-01-08
PayTech Solutions,Social Media,Kolkata,West Bengal,355173077620.7761,Pre-Series A,"Techstars, Tencent, DST Global",2019-08-30
BatteryTech,Real Estate,Chennai,Tamil Nadu,2606466870603.563,Series C,"Falcon Edge, Techstars, Accel Partners",2018-01-27
MediaHub,Automotive,Kochi,Kerala,10000000.0,Seed,"Naspers, Matrix Partners",2019-02-15
BookMyService,Real Estate,Mumbai,Maharashtra,10000000.0,Series E,"Naspers, Y Combinator, Tencent",2022-08-11
AgriTech Innovations,Marketing Tech,Indore,Madhya Pradesh,10000000.0,Series D,"Kalaari Capital, Sequoia Capital",2021-05-27
PasswordManager,Marketing Tech,Ahmedabad,Gujarat,174202664695.86188,Pre-Series A,Chiratae Ventures,2022-05-21
Insurance Plus,Edtech,Chennai,Tamil Nadu,10000000.0,Seed,Sequoia Capital,2017-06-17
PasswordManager,Blockchain,Ahmedabad,Gujarat,6541620391411.982,Private Equity,"Chiratae Ventures, Falcon Edge, Matrix Partners",2015-03-26
AI Analytics,Fashion & Lifestyle,Jaipur,Rajasthan,10000000.0,Series E,Techstars,2021-02-28
FashionForward,Cybersecurity,Visakhapatnam,Andhra Pradesh,10000000.0,Pre-Series A,"AngelList India, DST Global, General Catalyst",2016-06-26
PropertyFinder,Enterprise Software,Ahmedabad,Gujarat,125186216832.97885,Angel,"Chiratae Ventures, Alpha Wave Incubation",2022-03-11
FoodDelivery Express,Agritech,Pune,Maharashtra,10000000.0,Pre-Series A,SoftBank Vision Fund,2015-03-09
BatteryTech,Cybersecurity,Indore,Madhya Pradesh,10000000.0,Bridge Round,"Elevation Capital, Alpha Wave Incubation, Techstars",2021-03-09
GameZone,Logistics,Mumbai,Maharashtra,10000000.0,Series B,Nexus Venture Partners,2021-10-02
ContentCreators Hub,Social Media,Surat,Gujarat,3628535989329.173,Pre-Series A,"SoftBank Vision Fund, Insight Partners",2018-04-08
AutoParts Direct,Media & Entertainment,Chennai,Tamil Nadu,10000000.0,Series A,"Techstars, Elevation Capital",2022-05-31
MusicStream,Fintech,Mumbai,Maharashtra,10000000.0,Series D,"Alpha Wave Incubation, Steadview Capital, Chiratae Ventures",2018-06-20
DoctorConnect,Marketing Tech,Jaipur,Rajasthan,10000000.0,Seed,Naspers,2022-09-08
MarketingAI,Logistics,Noida,Uttar Pradesh,10000000.0,Series E,"Matrix Partners, Techstars, Alibaba",2023-01-09
SkillDevelopment,Foodtech,Hyderabad,Telangana,10000000.0,Series D,Sequoia Capital,2024-06-02
AutoParts Direct,Edtech,Nagpur,Maharashtra,10000000.0,Seed,Matrix Partners,2024-10-17
RiskAnalysis Platform,IoT,Pune,Maharashtra,10000000.0,Series B,"Chiratae Ventures, Insight Partners",2020-11-19
SocialConnect,E-commerce,Kolkata,West Bengal,10000000.0,Pre-Series A,"500 Startups, DST Global",2022-06-12
FurnitureWorld,Foodtech,Gurgaon,Haryana,10000000.0,Debt Financing,"Elevation Capital, Lightspeed Venture Partners",2018-11-06
BatteryTech,Fintech,Jaipur,Rajasthan,10000000.0,Series C,"Chiratae Ventures, Lightspeed Venture Partners, Alpha Wave Incubation",2022-11-09
HomeServices,Marketing Tech,Noida,Uttar Pradesh,10000000.0,Bridge Round,Nexus Venture Partners,2024-07-26
BioTech Labs,Cloud Services,Pune,Maharashtra,10000000.0,Series E,"SoftBank Vision Fund, SAIF Partners, Tiger Global",2016-01-21
MediaHub,AI/ML,Kochi,Kerala,111110020056.66777,Pre-Series A,Tiger Global,2016-06-27
Influencer Network,Enterprise Software,Mumbai,Maharashtra,10000000.0,Debt Financing,"Chiratae Ventures, Y Combinator, Techstars",2021-04-27
VirtualAssistant India,Renewable Energy,Kochi,Kerala,10000000.0,Series E,Insight Partners,2023-02-07
WasteManagement Co,Consumer Services,Coimbatore,Tamil Nadu,10000000.0,Private Equity,"Google Ventures, Naspers, Y Combinator",2015-08-10
JobPortal Pro,Social Media,,Andhra Pradesh,10000000.0,Series E,"Blume Ventures, Alpha Wave Incubation, Amazon",2015-02-08
SpaceTech Ventures,Social Media,Visakhapatnam,Andhra Pradesh,16380812966957.195,Pre-Series A,"Techstars, Google Ventures",2017-08-25
GreenBuild,Travel & Hospitality,Mumbai,Maharashtra,10000000.0,Pre-Series A,"General Catalyst, Matrix Partners, Amazon",2015-06-26
NanoTech India,Logistics,Surat,Gujarat,359077304562.3328,Growth Stage,Sequoia Capital,2022-01-23
FitTrack,Fashion & Lifestyle,Mumbai,Maharashtra,10000000.0,Series C,"Chiratae Ventures, Sequoia Capital, Insight Partners",2016-02-28
RiskAnalysis Platform,Gaming,Hyderabad,Telangana,1303979701207.136,Series C,"Naspers, Matrix Partners",2023-01-30
SportsFit,Gaming,Ahmedabad,Gujarat,10000000.0,Series C,"Amazon, Alpha Wave Incubation",2015-05-02
CryptoTrade India,Social Media,Bangalore,Karnataka,10000000.0,Series E,"Techstars, Steadview Capital, Sequoia Capital",2016-10-26
DisplayTech,Edtech,Hyderabad,Telangana,734246403755.759,Series D,"Steadview Capital, General Catalyst",2016-11-29
SocialConnect,Logistics,Jaipur,Rajasthan,10000000.0,Bridge Round,Alibaba,2020-09-08
SecureComm,Enterprise Software,Noida,Uttar Pradesh,10000000.0,Series D,"500 Startups, SAIF Partners, Techstars",2021-07-09
SportsFit,IoT,Hyderabad,Telangana,68508150014347.52,Angel,"Y Combinator, Steadview Capital, AngelList India",2018-03-23
CRM Platform,Foodtech,Jaipur,Rajasthan,10000000.0,Series A,"Falcon Edge, Accel Partners, Naspers",2015-08-30
BlockchainHub,Blockchain,Pune,Maharashtra,10000000.0,Bridge Round,"Alibaba, Tencent",2023-11-05
MediaHub,Edtech,Chennai,Tamil Nadu,10000000.0,Series B,Kalaari Capital,2021-06-16
EVCharging Network,Social Media,Kochi,Kerala,10000000.0,Series C,"Naspers, SoftBank Vision Fund",2021-11-08
ParkingFinder,Renewable Energy,Bhopal,Madhya Pradesh,10000000.0,Growth Stage,"Google Ventures, Blume Ventures, Insight Partners",2018-04-10
EventPlanner,Mobile Apps,Lucknow,Uttar Pradesh,729517372592.777,Series C,"Google Ventures, Tencent, 500 Startups",2015-07-28
IoT Solutions,AI/ML,Gurgaon,Haryana,10000000.0,Private Equity,"SAIF Partners, Techstars",2016-05-26
FashionForward,Real Estate,Kolkata,West Bengal,10000000.0,Debt Financing,Techstars,2021-05-19
FitTrack,Analytics,Bangalore,Karnataka,10000000.0,Private Equity,Tencent,2024-12-23
SportsFit,Consumer Services,Gurgaon,Haryana,4212032764683.9775,Growth Stage,"AngelList India, Blume Ventures, Tiger Global",2021-12-14
IdentityVerification,Foodtech,Indore,Madhya Pradesh,10000000.0,Private Equity,"Chiratae Ventures, AngelList India",2023-09-08
WasteManagement Co,Media & Entertainment,Nagpur,Maharashtra,10000000.0,Series B,"SAIF Partners, DST Global",2016-07-11
AI Analytics,Automotive,Kochi,Kerala,10000000.0,Bridge Round,"General Catalyst, Lightspeed Venture Partners, Naspers",2017-02-03
DeepLearning India,Edtech,Mumbai,Maharashtra,10000000.0,Series E,Insight Partners,2017-02-27
DigitalArt Platform,IoT,Indore,Madhya Pradesh,48224148850510.15,Series D,"SoftBank Vision Fund, Steadview Capital, Lightspeed Venture Partners",2017-05-15
DeepLearning India,Social Media,Nagpur,Maharashtra,10000000.0,Series E,"Techstars, Accel Partners",2015-12-13
MarketingAI,Logistics,Coimbatore,Tamil Nadu,10000000.0,Bridge Round,"Blume Ventures, Nexus Venture Partners",2020-02-27
InvestSmart,Fintech,Visakhapatnam,Andhra Pradesh,73488532793218.73,Seed,"Matrix Partners, Nexus Venture Partners",2022-08-27
CloudServe,Edtech,Kochi,Kerala,10000000.0,Debt Financing,"SoftBank Vision Fund, Sequoia Capital",2015-11-15
PropertyFinder,E-commerce,Delhi,Delhi,10000000.0,Growth Stage,Tencent,2023-06-23
CloudServe,Foodtech,Lucknow,Uttar Pradesh,12674694278637.92,Angel,"Amazon, Chiratae Ventures",2024-11-22
BeautyBox,Gaming,Ahmedabad,Gujarat,10000000.0,Series A,Alibaba,2018-10-01
AI Analytics,Healthtech,Jaipur,Rajasthan,10000000.0,Series D,"Alpha Wave Incubation, Tencent",2023-04-04
ARGlasses,AI/ML,Mumbai,Maharashtra,10000000.0,Growth Stage,"SoftBank Vision Fund, Tiger Global, Amazon",2018-11-09
VerticalGardens,Social Media,Visakhapatnam,Andhra Pradesh,10000000.0,Pre-Series A,SAIF Partners,2017-01-14
NLP Solutions,Renewable Energy,Indore,Madhya Pradesh,10000000.0,Private Equity,Google Ventures,2024-03-20
ComputerVision Co,Hardware,Coimbatore,Tamil Nadu,2320381917868.678,Seed,"Elevation Capital, DST Global, Kalaari Capital",2022-10-12
GameZone,Marketing Tech,Delhi,Delhi,10000000.0,Pre-Series A,Blume Ventures,2016-04-06
SportsFit,Real Estate,Jaipur,Rajasthan,10000000.0,Seed,Techstars,2016-04-22
WasteManagement Co,Edtech,Lucknow,Uttar Pradesh,10000000.0,Series B,"Blume Ventures, Nexus Venture Partners, Matrix Partners",2021-07-20
DisplayTech,Marketing Tech,Bhopal,Madhya Pradesh,10000000.0,Growth Stage,"Falcon Edge, Naspers, Steadview Capital",2019-01-22
FitTrack,Media & Entertainment,Jaipur,Rajasthan,66931696911622.914,Series C,Steadview Capital,2015-08-24
SkillDevelopment,Agritech,Surat,Gujarat,10000000.0,Debt Financing,"Accel Partners, Y Combinator, Techstars",2019-04-27
